spaceAt(94.355049f, 585.317505f, green)
spaceAt(1272.993286f, 347.861206f, red)
spaceAt(1245.984741f, 356.695862f, red)
spaceAt(1227.194946f, 379.953705f, green)
spaceAt(1217.367554f, 402.451569f, green)
spaceAt(1204.988525f, 429.453613f, yellow)
spaceAt(1194.705811f, 459.888641f, yellow)
spaceAt(1191.600342f, 481.816559f, yellow)
spaceAt(1189.399048f, 509.083923f, red)
spaceAt(1181.904053f, 543.119019f, green)
spaceAt(1177.629150f, 569.885254f, yellow)
spaceAt(1168.827148f, 591.167786f, yellow)
spaceAt(1168.240967f, 614.323242f, red)
spaceAt(1172.751953f, 636.554749f, red)
spaceAt(1187.954956f, 664.094971f, red)
spaceAt(1206.373047f, 695.897034f, green)
spaceAt(1227.806885f, 724.309570f, green)
spaceAt(1245.701538f, 759.850098f, red)
spaceAt(1268.730469f, 785.944824f, red)
spaceAt(1290.363647f, 822.008789f, yellow)
spaceAt(1296.544434f, 868.615173f, yellow)
spaceAt(1298.173340f, 906.444946f, red)
spaceAt(1295.520386f, 936.305237f, red)
spaceAt(1278.895752f, 966.596130f, green)
spaceAt(1248.778320f, 985.656189f, yellow)
spaceAt(1224.545044f, 1001.071350f, green)
spaceAt(1206.339111f, 1026.705200f, green)
spaceAt(1202.093018f, 1062.707520f, yellow)
spaceAt(1191.893677f, 1095.249512f, yellow)
spaceAt(1179.425903f, 1125.112427f, red)
spaceAt(1162.535767f, 1148.672241f, yellow)
spaceAt(1137.298218f, 1168.896973f, green)
spaceAt(1110.949219f, 1172.855835f, green)
spaceAt(1080.182739f, 1170.076294f, red)
spaceAt(1062.386108f, 1157.057617f, red)
spaceAt(1046.783569f, 1146.818237f, red)
spaceAt(1023.556030f, 1140.032959f, yellow)
spaceAt(983.142090f, 1141.950928f, green)
spaceAt(952.623596f, 1146.454712f, green)
spaceAt(922.596191f, 1155.985718f, green)
spaceAt(884.680420f, 1157.871704f, red)
spaceAt(841.902832f, 1161.011230f, yellow)
spaceAt(808.727844f, 1145.047119f, yellow)
spaceAt(787.329468f, 1120.708740f, yellow)
spaceAt(764.884216f, 1102.570557f, green)
spaceAt(751.356750f, 1083.546875f, green)
spaceAt(732.514709f, 1072.394165f, yellow)
spaceAt(707.452148f, 1069.756592f, red)
spaceAt(674.377563f, 1067.360474f, red)
spaceAt(642.873413f, 1055.663940f, red)
spaceAt(611.144775f, 1044.012451f, green)
spaceAt(567.146118f, 1064.235474f, green)
spaceAt(535.943054f, 1102.643921f, green)
spaceAt(504.560913f, 1138.144287f, yellow)
spaceAt(468.838409f, 1150.560303f, yellow)
spaceAt(421.663177f, 1166.600464f, yellow)
spaceAt(369.520874f, 1149.378418f, red)
spaceAt(353.459198f, 1125.556274f, red)
spaceAt(345.226044f, 1086.657227f, red)
spaceAt(315.074860f, 1056.382812f, yellow)
spaceAt(263.037811f, 1047.338867f, yellow)
spaceAt(214.644730f, 1051.258179f, green)
spaceAt(179.031387f, 1027.913696f, green)
spaceAt(171.596619f, 983.091187f, red)
spaceAt(198.640076f, 967.527161f, green)
spaceAt(230.444214f, 956.650391f, yellow)
spaceAt(260.966370f, 932.791870f, yellow)
spaceAt(290.280029f, 905.399597f, yellow)
spaceAt(320.857269f, 888.627014f, red)
spaceAt(363.244415f, 871.762695f, red)
spaceAt(404.588287f, 872.622375f, red)
spaceAt(428.446808f, 903.144531f, green)
spaceAt(446.637268f, 932.603149f, red)
spaceAt(483.165894f, 947.220459f, red)
spaceAt(504.582062f, 946.328186f, green)
spaceAt(527.191528f, 930.378723f, green)
spaceAt(539.524719f, 902.802185f, yellow)
spaceAt(548.016357f, 871.596863f, yellow)
spaceAt(557.461731f, 849.110291f, yellow)
spaceAt(573.733154f, 831.788025f, green)
spaceAt(597.032532f, 823.384644f, red)
spaceAt(620.617615f, 823.849121f, red)
spaceAt(639.110596f, 831.579346f, red)
spaceAt(654.916382f, 844.263245f, green)
spaceAt(674.401489f, 857.134705f, green)
spaceAt(693.979492f, 865.289124f, green)
spaceAt(712.896667f, 871.934265f, red)
spaceAt(732.425598f, 873.815125f, red)
spaceAt(755.860168f, 875.592651f, yellow)
spaceAt(782.117615f, 894.641235f, yellow)
spaceAt(796.694336f, 912.675232f, green)
spaceAt(808.482666f, 933.435303f, green)
spaceAt(823.523621f, 945.220764f, yellow)
spaceAt(841.467773f, 952.664124f, red)
spaceAt(867.806641f, 962.727722f, red)
spaceAt(896.295044f, 968.855957f, red)
spaceAt(920.057068f, 960.611511f, red)
spaceAt(940.247620f, 940.197327f, green)
spaceAt(961.175842f, 929.225830f, green)
spaceAt(994.460510f, 918.359070f, yellow)
spaceAt(1027.084229f, 926.731201f, yellow)
spaceAt(1052.725952f, 923.023926f, green)
spaceAt(1087.172485f, 925.896973f, green)
spaceAt(1110.032959f, 908.232300f, green)
spaceAt(1116.413330f, 881.809814f, red)
spaceAt(1114.815674f, 860.730286f, red)
spaceAt(1106.707886f, 839.516479f, green)
spaceAt(1095.139648f, 826.077271f, green)
spaceAt(1077.496460f, 808.360291f, yellow)
spaceAt(1063.561646f, 795.221985f, yellow)
spaceAt(1050.887207f, 783.486511f, yellow)
spaceAt(1034.142578f, 770.945862f, yellow)
spaceAt(1009.432617f, 763.564758f, red)
spaceAt(977.501099f, 758.698242f, red)
spaceAt(950.351257f, 751.204529f, red)
spaceAt(914.620850f, 742.822632f, green)
spaceAt(895.768066f, 728.902893f, green)
spaceAt(882.916016f, 712.308838f, green)
spaceAt(876.952881f, 684.459778f, yellow)
spaceAt(899.311401f, 662.838074f, green)
spaceAt(921.443298f, 666.863647f, green)
spaceAt(942.545166f, 675.812622f, yellow)
spaceAt(964.724304f, 681.057251f, yellow)
spaceAt(996.419495f, 679.828552f, yellow)
spaceAt(1027.689453f, 667.628479f, red)
spaceAt(1039.964844f, 637.851501f, green)
spaceAt(1045.766846f, 598.558472f, green)
spaceAt(1040.928345f, 568.224060f, yellow)
spaceAt(1023.851990f, 537.143127f, yellow)
spaceAt(1002.041260f, 509.908417f, red)
spaceAt(1002.456970f, 489.137360f, red)
spaceAt(1012.483215f, 464.331116f, red)
spaceAt(1034.794556f, 441.490387f, green)
spaceAt(1053.684937f, 424.886658f, yellow)
spaceAt(1077.752808f, 411.638031f, yellow)
spaceAt(1095.200684f, 397.882568f, green)
spaceAt(1104.354248f, 382.232880f, green)
spaceAt(1104.703735f, 361.282104f, green)
spaceAt(1093.813599f, 335.046234f, red)
spaceAt(1077.599976f, 314.204254f, red)
spaceAt(1064.301514f, 294.845428f, yellow)
spaceAt(1069.343872f, 268.206604f, green)
spaceAt(1083.133057f, 252.896729f, green)
spaceAt(1103.098999f, 244.845352f, green)
spaceAt(1120.450195f, 245.276459f, yellow)
spaceAt(1135.418579f, 251.311005f, yellow)
spaceAt(1148.963623f, 263.026276f, red)
spaceAt(1168.112183f, 277.124481f, green)
spaceAt(1196.824829f, 280.402069f, green)
spaceAt(1219.824341f, 270.663177f, green)
spaceAt(1233.922485f, 251.514648f, yellow)
spaceAt(1241.998413f, 223.188278f, yellow)
spaceAt(1246.235718f, 194.552841f, red)
spaceAt(1244.637695f, 166.413498f, red)
spaceAt(1228.721924f, 136.155518f, red)
spaceAt(1197.406860f, 117.214226f, red)
spaceAt(1148.463867f, 113.273743f, red)
spaceAt(1120.698608f, 134.219574f, yellow)
spaceAt(1090.704956f, 158.849533f, green)
spaceAt(1073.418701f, 181.604935f, green)
spaceAt(1048.113525f, 195.987640f, yellow)
spaceAt(1024.882324f, 208.605530f, yellow)
spaceAt(995.010620f, 219.722916f, green)
spaceAt(981.717590f, 240.868042f, green)
spaceAt(975.947266f, 264.550629f, green)
spaceAt(970.667969f, 288.032959f, red)
spaceAt(977.370605f, 308.576416f, red)
spaceAt(980.609741f, 335.636871f, green)
spaceAt(983.221558f, 359.169952f, green)
spaceAt(978.240784f, 388.675873f, yellow)
spaceAt(970.257568f, 412.913116f, yellow)
spaceAt(951.080261f, 440.420288f, yellow)
spaceAt(925.964172f, 456.605621f, red)
spaceAt(905.050659f, 475.972198f, red)
spaceAt(875.509277f, 500.599823f, green)
spaceAt(862.672852f, 523.221924f, green)
spaceAt(841.722229f, 544.525757f, yellow)
spaceAt(808.697021f, 562.879822f, red)
spaceAt(771.023865f, 580.536194f, red)
spaceAt(744.601807f, 589.979858f, green)
spaceAt(719.125427f, 597.444397f, green)
spaceAt(692.928589f, 605.109131f, green)
spaceAt(667.972595f, 611.653076f, yellow)
spaceAt(648.399963f, 619.417908f, yellow)
spaceAt(635.091309f, 634.367371f, yellow)
spaceAt(615.378540f, 654.199890f, green)
spaceAt(606.092407f, 673.852417f, green)
spaceAt(594.244690f, 692.664368f, red)
spaceAt(584.758423f, 711.596375f, red)
spaceAt(578.774353f, 736.152039f, red)
spaceAt(561.567261f, 754.299133f, green)
spaceAt(541.141418f, 769.636414f, green)
spaceAt(512.177612f, 773.177551f, green)
spaceAt(480.998322f, 763.195801f, yellow)
spaceAt(453.446991f, 747.145508f, yellow)
spaceAt(423.150482f, 738.242126f, yellow)
spaceAt(392.002014f, 736.301514f, yellow)
spaceAt(356.273041f, 734.423950f, red)
spaceAt(321.532684f, 758.441284f, red)
spaceAt(290.331573f, 775.616760f, red)
spaceAt(255.459778f, 778.624756f, yellow)
spaceAt(227.676956f, 791.645691f, yellow)
spaceAt(208.676392f, 799.110962f, green)
spaceAt(186.355713f, 801.972595f, green)
spaceAt(160.442200f, 795.338989f, green)
spaceAt(155.564651f, 774.157532f, green)
spaceAt(175.023727f, 748.975281f, green)
spaceAt(209.027542f, 734.476196f, yellow)
spaceAt(232.041092f, 732.139282f, green)
spaceAt(246.626007f, 717.454773f, green)
spaceAt(262.690826f, 708.267639f, yellow)
spaceAt(273.278137f, 692.957458f, yellow)
spaceAt(280.582886f, 672.452942f, yellow)
spaceAt(292.279022f, 654.293335f, red)
spaceAt(314.287048f, 637.966553f, red)
spaceAt(338.378265f, 638.988281f, green)
spaceAt(361.813843f, 653.137512f, green)
spaceAt(379.729340f, 671.503662f, yellow)
spaceAt(404.250885f, 677.538757f, yellow)
spaceAt(430.325867f, 681.053772f, green)
spaceAt(458.576324f, 670.493774f, red)
spaceAt(481.184265f, 658.813660f, red)
spaceAt(499.820374f, 641.589783f, red)
spaceAt(514.150513f, 619.706848f, green)
spaceAt(526.061829f, 590.844849f, green)
spaceAt(541.666931f, 573.436584f, yellow)
spaceAt(567.951721f, 563.684326f, yellow)
spaceAt(589.799072f, 562.313232f, green)
spaceAt(614.528992f, 553.879089f, green)
spaceAt(639.819763f, 544.715027f, yellow)
spaceAt(665.678589f, 528.843079f, yellow)
spaceAt(689.504150f, 515.378418f, red)
spaceAt(713.062256f, 499.755157f, red)
spaceAt(727.390259f, 487.630371f, red)
spaceAt(740.904053f, 472.338440f, green)
spaceAt(752.910095f, 448.992889f, green)
spaceAt(753.786194f, 421.755768f, green)
spaceAt(752.852234f, 400.611481f, red)
spaceAt(744.498291f, 376.872803f, red)
spaceAt(724.742981f, 348.186798f, yellow)
spaceAt(700.341736f, 336.452148f, yellow)
spaceAt(675.909546f, 339.919678f, yellow)
spaceAt(654.372131f, 361.213623f, red)
spaceAt(637.388794f, 391.466248f, red)
spaceAt(626.347717f, 420.753937f, green)
spaceAt(619.287964f, 452.394531f, green)
spaceAt(612.289062f, 473.327301f, green)
spaceAt(598.593689f, 501.046356f, yellow)
spaceAt(577.267761f, 514.407471f, yellow)
spaceAt(548.854187f, 515.522095f, yellow)
spaceAt(522.914246f, 510.936005f, green)
spaceAt(505.480957f, 493.470734f, green)
spaceAt(496.101227f, 474.497772f, green)
spaceAt(498.243591f, 458.752808f, red)
spaceAt(512.149536f, 442.797272f, red)
spaceAt(528.739685f, 432.904663f, red)
spaceAt(556.429810f, 422.409363f, yellow)
spaceAt(570.818726f, 399.576721f, yellow)
spaceAt(574.469849f, 372.188904f, yellow)
spaceAt(573.355225f, 343.775330f, green)
spaceAt(567.474976f, 314.335968f, green)
spaceAt(548.714478f, 296.086426f, green)
spaceAt(526.846802f, 287.639679f, red)
spaceAt(496.081268f, 273.039246f, red)
spaceAt(471.709961f, 265.798889f, yellow)
spaceAt(445.830902f, 250.504944f, yellow)
spaceAt(424.446136f, 235.181076f, yellow)
spaceAt(399.165558f, 223.456268f, red)
spaceAt(366.902374f, 225.948532f, green)
spaceAt(341.997589f, 248.620956f, green)
spaceAt(330.826050f, 284.632660f, yellow)
spaceAt(339.226593f, 317.802307f, yellow)
spaceAt(351.582336f, 351.926788f, red)
spaceAt(380.441254f, 376.640991f, red)
spaceAt(403.026184f, 406.537750f, red)
spaceAt(415.491089f, 439.516571f, green)
spaceAt(418.354187f, 476.204865f, green)
spaceAt(399.613983f, 496.962524f, green)
spaceAt(372.745087f, 518.101868f, yellow)
spaceAt(335.675110f, 512.836243f, yellow)
spaceAt(306.842987f, 506.043365f, yellow)
spaceAt(277.601776f, 497.477417f, green)
spaceAt(257.144104f, 481.655914f, green)
spaceAt(240.941589f, 469.707916f, yellow)
spaceAt(224.629959f, 458.905579f, yellow)
spaceAt(206.054459f, 441.529327f, yellow)
spaceAt(194.571167f, 422.516602f, red)
spaceAt(198.145386f, 391.065735f, red)
spaceAt(218.440353f, 372.190277f, green)
spaceAt(243.372177f, 365.317047f, green)
spaceAt(267.921661f, 374.592072f, yellow)
spaceAt(288.379333f, 390.413574f, yellow)
spaceAt(297.751770f, 412.456024f, yellow)
spaceAt(296.543091f, 430.943115f, yellow)
spaceAt(287.552521f, 454.665405f, red)
spaceAt(274.570129f, 479.230804f, red)
spaceAt(253.405609f, 504.398224f, red)
spaceAt(230.505981f, 521.927185f, red)
spaceAt(205.161118f, 536.149109f, green)
spaceAt(186.758911f, 550.648193f, green)
spaceAt(166.702499f, 564.900024f, yellow)
spaceAt(155.947174f, 589.336060f, yellow)
spaceAt(152.732864f, 610.840515f, yellow)
spaceAt(147.434616f, 632.709900f, red)
spaceAt(135.702103f, 654.632263f, green)
spaceAt(117.052628f, 670.785522f, green)
spaceAt(91.862999f, 674.123230f, yellow)
spaceAt(72.316925f, 660.380737f, yellow)
spaceAt(63.907799f, 641.698608f, red)
spaceAt(67.136116f, 623.434448f, red)
spaceAt(76.102959f, 606.387756f, yellow)
